Name,link,store,price
"Govee Smart Plug(4 Pack) Bluetooth & WiFi Outlet Works with Alexa Google Assistant, 15A 1800W with 24 Timer Schedule & Group Remote Controller- $16.99 + FS w/ Prime",https://slickdeals.net/f/15215719-govee-smart-plug-4-pack-bluetooth-wifi-outlet-works-with-alexa-google-assistant-15a-1800w-with-24-timer-schedule-group-remote-controller-16-99-fs-w-prime,Amazon,$16.99
Macbook Pro 16GB 1TB SSD Intel I5 Latest Model $1499 with Student Deals,https://slickdeals.net/f/15214699-macbook-pro-16gb-1tb-ssd-intel-i5-latest-model-1499-with-student-deals,Best Buy,"$1,499"
"YMMV ASUS C423 14"" Celeron 4GB/64GB Chromebook @walmart $59",https://slickdeals.net/f/15213964-ymmv-asus-c423-14-celeron-4gb-64gb-chromebook-walmart-59,Walmart,$59
Neewer NL-288 LED Panel Desktop Kit - $144.89 + Free Shipping,https://slickdeals.net/f/15215038-neewer-nl-288-led-panel-desktop-kit-144-89-free-shipping,Amazon,$144.89
DeepCool Castle 280EX AIO CPU Liquid Cooler - Amazon Lightning Deal - $89.99,https://slickdeals.net/f/15215350-deepcool-castle-280ex-aio-cpu-liquid-cooler-amazon-lightning-deal-89-99,Amazon,$89.99
OLOy WarHawk RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop RAM for $89.99 w/ Free Shipping,https://slickdeals.net/f/15214852-oloy-warhawk-rgb-16gb-2-x-8gb-288-pin-ddr4-sdram-ddr4-4000-pc4-32000-desktop-ram-for-89-99-w-free-shipping,Newegg,$89.99
650W EVGA SuperNOVA 650 G+ 80 Plus Gold Modular Power Supply @Amazon $50,https://slickdeals.net/f/15214132-650w-evga-supernova-650-g-80-plus-gold-modular-power-supply-amazon-50,Amazon,$49.99
Name,link,store,price
15% off select SSDs @Newegg Samsung 980 NVMe SSD $93.49; 500GB / $51; 2TB 870 QVO / $156AC; 8TB/ $595 and more,https://slickdeals.net/f/15216322-15-off-select-ssds-newegg-samsung-980-nvme-ssd-93-49-500gb-51-2tb-870-qvo-156ac-8tb-595-and-more,Newegg,$93.49
Alienware Aurora R12 Gaming Desktop $1896.4,https://slickdeals.net/f/15216613-alienware-aurora-r12-gaming-desktop-1896-4,Dell Home & Office,"$1,896.40"
"Nitro 5 Gaming Laptop  - 15.6"" FHD 144Hz IPS, Ryzen 7 5800H, RTX 3070, 16GB DDR4, 512 Gb SSD, Win10H @ $1349.99",https://slickdeals.net/f/15215611-nitro-5-gaming-laptop-15-6-fhd-144hz-ips-ryzen-7-5800h-rtx-3070-16gb-ddr4-512-gb-ssd-win10h-1349-99,Acer,"$1,349.99"
"Samsung EDU: Galaxy Book Pro 15.6"" Laptop: i5-1135G7, 8GB RAM, 512GB SSD & More",https://slickdeals.net/f/15215623-edu-only-amoled-samsung-galaxy-book-pro-laptop-15-i5-8gb-ram-512-ssd-silver-free-galaxy-buds-pro-headphones-664-99,Samsung,$665
"Recycle Any Storage Device, Get Select Western Digital & SanDisk Storage Devices",https://slickdeals.net/f/15214777-best-buy-recycle-any-storage-device-get-15-off-select-western-digital-and-sandisk-storage-devices,Best Buy,15% Off
